source,target,weight_1,weight_2,weight_3,weight_4
266,489,9,3,1,8
370,329,1,9,6,1
188,438,7,4,3,1
461,461,9,1,8,8
133,497,10,6,1,7
188,363,4,5,3,9
9,309,10,1,2,9
188,188,8,9,5,3
263,151,2,4,8,4
201,252,9,3,10,1
459,120,3,10,8,8
326,178,1,10,9,10
347,347,2,8,6,3
352,434,5,6,5,9
39,250,8,10,1,10
157,157,4,5,3,5
377,269,10,5,5,1
19,19,6,4,2,4
467,132,1,10,2,7
24,288,10,2,6,7
157,272,1,1,2,9
340,412,5,1,10,3
188,202,1,8,4,7
188,16,3,4,2,3
188,449,4,9,5,8
188,188,7,2,3,10
224,337,9,1,3,9
99,126,8,4,1,8
108,239,6,2,8,7
148,148,8,7,10,8
28,204,8,7,3,3
291,139,1,7,7,3
188,188,1,5,5,3
134,292,2,3,9,9
85,85,3,1,6,10
377,293,2,4,5,6
273,465,7,10,5,7
231,77,6,1,5,6
366,366,8,8,10,6
479,173,3,2,3,2
386,386,2,3,4,4
188,188,7,6,2,3
377,470,4,2,5,8
188,397,9,1,7,8
151,151,7,1,5,10
123,26,3,5,9,1
87,87,8,2,3,1
305,395,6,1,8,5
406,193,1,2,10,9
59,324,10,1,7,10
23,5,8,10,5,3
231,91,4,10,9,4
466,119,5,9,3,8
405,405,2,8,9,1
392,392,9,7,1,4
24,498,2,3,9,10
95,114,5,2,4,3
188,188,6,2,2,4
76,452,4,4,1,5
85,427,6,2,8,7
218,259,5,6,5,9
197,197,9,2,3,1
197,367,4,3,8,10
188,310,4,6,1,8
367,11,10,2,5,6
288,356,4,4,6,1
452,117,2,1,2,3
155,155,6,5,4,8
364,48,3,2,5,10
59,421,5,8,5,7
490,490,3,1,9,4
349,349,2,4,7,5
151,151,7,5,8,3
134,134,1,6,6,8
291,291,1,10,6,1
354,354,4,6,2,9
24,458,6,7,3,1
305,129,7,3,3,1
359,296,4,10,8,7
108,108,3,5,7,4
188,130,10,8,5,10
490,182,3,8,9,6
188,188,9,8,9,2
377,377,7,3,5,6
490,490,6,9,10,8
151,463,1,9,4,6
377,165,6,4,10,1
479,479,2,1,8,3
37,216,3,4,10,5
461,420,2,1,6,4
377,377,4,10,3,2
85,327,4,7,4,3
188,390,8,10,3,10
188,107,1,4,4,1
264,295,4,3,1,9
377,377,8,4,4,6
56,86,5,6,2,8
188,188,9,5,8,8
59,59,3,4,8,9
197,57,5,4,10,6
188,112,8,5,8,9
188,188,6,2,6,8
386,34,8,5,8,3
74,430,5,1,1,3
288,8,9,8,9,9
39,353,6,10,7,2
266,373,9,1,1,8
188,63,10,10,8,4
157,260,5,5,1,8
188,66,1,5,9,7
291,331,2,5,1,6
398,447,3,2,9,2
467,128,9,7,2,3
151,282,7,1,1,8
188,209,4,2,10,4
91,177,8,4,9,2
386,386,9,3,5,9
487,487,5,10,2,2
231,231,7,8,2,5
188,375,10,9,9,4
197,208,1,6,9,10
188,238,4,7,10,10
402,402,2,7,8,3
406,258,7,5,5,3
461,481,5,8,8,2
170,4,4,9,4,9
461,79,7,7,4,5
188,400,2,5,9,3
396,396,9,1,7,9
458,458,8,1,7,10
134,361,3,9,7,5
157,496,2,10,10,2
251,135,4,10,8,6
42,42,8,4,10,2
12,424,5,5,3,10
59,196,2,6,7,7
188,171,2,4,1,10
291,291,9,4,2,5
188,314,8,5,7,8
490,318,9,9,2,2
310,271,6,9,7,10
367,416,6,4,1,8
479,474,5,6,7,10
188,188,3,2,7,1
260,294,7,8,2,6
419,180,8,10,8,5
133,133,7,2,10,6
59,407,1,8,2,1
39,325,8,5,4,10
224,150,2,8,4,2
490,490,1,8,6,4
377,203,8,5,7,6
188,341,4,3,9,9
292,292,9,9,7,6
487,394,7,5,8,8
206,387,9,9,8,8
153,389,8,5,1,6
479,393,9,7,6,6
408,408,10,4,10,8
209,41,2,10,10,9
461,461,10,1,10,7
487,43,10,8,1,8
392,392,9,6,9,8
377,40,5,7,1,4
188,188,3,9,4,8
251,371,9,6,8,3
377,221,6,8,6,6
188,82,1,10,5,10
361,122,4,1,2,2
188,101,5,4,4,7
251,38,3,5,5,8
188,188,4,2,8,4
345,345,6,2,1,7
188,401,10,3,6,8
393,393,7,6,8,9
59,59,9,10,3,4
163,312,8,4,5,4
420,242,7,2,9,1
305,227,9,6,9,8
188,278,4,8,3,6
239,239,5,4,1,2
392,392,6,4,4,3
59,248,3,10,5,2
188,118,8,6,2,1
445,78,1,9,7,3
203,446,1,8,10,3
427,2,10,9,2,8
133,93,5,4,9,2
328,328,6,10,7,4
207,0,5,4,5,4
188,188,9,10,1,6
12,12,8,9,8,1
85,442,7,3,7,6
188,240,3,4,4,8
39,39,1,1,4,10
340,90,1,8,10,3
490,490,4,5,5,2
214,214,6,5,4,2
266,388,4,7,2,6
392,67,6,6,10,10
188,188,6,10,6,1
317,334,9,7,10,2
188,164,4,5,9,9
430,430,1,9,7,6
103,97,3,5,5,4
188,73,8,2,1,2
444,189,6,2,8,1
377,215,7,8,7,7
148,148,5,7,1,3
138,138,9,3,4,1
42,307,9,9,4,5
97,97,9,9,10,1
282,342,7,10,10,3
199,52,1,10,1,2
251,251,1,3,1,9
353,46,7,4,2,8
463,268,2,8,3,4
60,60,1,2,10,7
133,55,10,2,10,10
188,158,10,3,10,4
188,188,5,7,5,10
291,433,4,1,8,10
106,106,7,8,6,9
151,426,6,10,1,4
343,343,4,9,8,7
94,94,2,10,3,3
188,333,2,4,1,4
496,146,6,7,1,4
377,377,10,2,3,4
39,39,8,7,2,5
60,60,8,9,3,6
41,41,9,2,3,1
188,188,6,6,4,5
157,190,3,7,10,5
192,175,9,5,6,2
467,276,1,5,2,2
188,195,7,9,3,9
164,306,4,5,3,1
22,369,6,3,9,6
108,3,9,8,8,9
85,85,10,4,9,10
251,251,10,1,3,8
116,21,1,7,9,2
377,372,8,4,10,8
42,357,5,6,6,2
377,302,10,2,6,9
273,244,8,1,7,5
380,471,2,5,2,1
99,99,1,6,8,4
188,255,4,3,4,7
85,220,7,1,8,2
180,185,10,9,1,8
59,368,9,5,9,3
188,172,5,1,6,7
405,70,9,1,2,4
41,187,1,8,10,3
210,417,9,8,2,2
377,159,4,9,7,1
496,211,1,5,4,10
85,261,3,9,1,1
59,47,2,5,6,9
326,162,10,10,8,7
251,251,6,1,2,2
148,229,1,2,6,6
188,464,1,1,1,10
97,65,8,5,2,2
39,39,3,5,1,7
188,450,10,6,7,6
264,264,9,3,7,3
370,370,5,7,7,9
190,190,2,7,2,9
188,188,8,9,9,10
188,287,9,10,3,9
447,20,4,8,4,4
479,300,9,1,7,1
366,366,4,3,7,9
188,33,6,7,7,6
427,427,4,8,8,10
188,137,6,6,3,1
188,188,2,1,5,6
188,125,10,2,7,6
470,205,10,4,6,3
493,493,1,2,8,7
188,188,5,8,8,5
188,322,1,9,6,9
345,142,7,8,8,2
369,109,10,1,2,3
188,485,1,1,7,4
398,253,9,7,7,3
188,131,10,1,5,2
399,384,2,8,8,5
188,411,3,1,3,6
377,457,3,9,2,2
273,96,3,10,8,2
59,494,5,3,10,6
214,214,9,3,2,5
467,467,5,2,1,3
188,308,10,6,1,1
438,438,3,7,6,5
392,392,1,1,10,5
188,6,2,8,5,10
361,443,1,2,10,5
188,188,7,3,9,10
202,194,3,10,8,8
214,214,8,5,6,7
46,358,6,1,4,5
96,281,4,3,4,4
461,230,3,4,4,4
37,290,3,1,6,3
251,383,7,5,3,4
245,245,3,5,5,8
490,174,3,10,4,7
370,217,8,8,9,1
392,448,10,4,10,7
151,403,4,5,4,10
470,53,10,1,4,9
461,461,10,1,6,4
59,110,9,1,6,7
492,247,1,1,4,6
188,188,9,3,10,5
201,156,10,7,8,5
291,286,4,2,10,7
438,438,7,1,1,5
461,36,7,3,6,5
364,184,1,7,1,5
42,42,3,5,7,1
189,88,4,9,3,1
366,121,8,5,9,9
188,188,4,1,6,1
188,188,7,5,10,4
136,484,1,7,1,2
361,141,1,9,1,4
188,472,5,8,4,8
291,27,3,9,4,3
487,487,4,8,5,1
461,301,4,9,8,9
187,429,4,7,3,2
399,436,1,2,3,5
406,431,2,4,2,2
157,157,2,8,4,1
461,461,3,2,1,1
134,134,7,6,6,5
361,348,1,10,5,10
385,58,10,3,7,5
134,98,6,6,8,8
401,113,1,2,9,8
399,166,4,3,6,1
188,188,3,1,7,2
188,13,9,2,4,4
188,168,2,8,2,8
145,44,7,2,3,8
437,241,5,2,1,7
188,188,3,8,1,5
108,319,10,10,2,1
59,59,1,1,2,9
377,243,2,2,6,10
490,488,3,8,2,10
305,50,3,3,7,2
283,285,2,7,2,10
188,311,6,9,4,2
461,461,9,8,5,1
377,235,4,5,3,7
188,51,6,2,10,1
156,156,6,3,4,1
219,219,5,8,7,4
452,452,7,7,8,9
251,365,4,2,7,2
418,323,7,2,4,2
266,266,9,4,10,3
153,153,9,7,2,8
364,413,5,7,6,10
366,270,3,4,6,10
188,7,2,5,9,2
94,335,8,8,10,2
357,482,2,5,5,3
481,481,4,6,6,1
41,41,7,7,7,3
485,456,8,9,8,7
185,185,10,2,3,4
65,32,3,8,9,10
214,423,1,3,10,9
45,256,6,1,4,9
475,249,10,2,9,8
188,477,1,5,2,7
95,453,3,6,10,6
251,228,2,1,10,2
61,225,5,3,6,2
