source,target,weight_1,weight_2
188,257,5,7
85,425,1,4
157,157,8,3
435,419,10,3
188,223,4,8
377,87,10,4
385,207,7,4
104,437,5,7
188,64,7,2
188,188,4,9
188,188,9,6
108,108,6,9
85,376,10,1
188,102,2,5
251,71,7,1
188,298,1,5
366,366,7,4
490,274,10,2
153,84,3,5
451,133,2,3
188,222,4,10
377,81,5,7
188,92,2,1
461,461,7,4
188,391,8,9
188,18,5,1
188,340,4,9
343,198,1,9
487,454,6,3
313,313,8,7
116,210,1,9
157,157,4,5
214,415,10,5
435,435,1,9
106,233,9,3
214,61,8,7
490,490,5,9
188,200,8,9
188,188,7,8
392,283,10,7
377,377,2,4
188,188,10,5
354,124,10,8
85,468,6,10
56,56,9,10
480,317,9,1
59,155,6,9
188,76,1,7
59,136,3,9
479,479,4,1
291,254,8,6
108,263,8,7
303,22,4,2
85,486,8,5
214,315,2,6
490,490,6,5
437,437,2,9
237,69,9,2
24,24,2,7
406,406,8,3
451,236,8,8
490,462,8,7
490,490,7,5
188,351,10,10
188,45,10,2
188,328,4,6
188,149,7,4
188,475,2,10
385,385,7,7
377,192,8,2
283,283,8,1
188,188,6,3
188,188,5,10
17,94,6,2
408,360,1,6
490,490,5,7
479,479,9,9
398,398,10,2
200,338,2,6
85,402,9,7
157,157,10,8
366,206,8,7
188,147,8,5
188,49,3,8
251,378,5,7
188,29,8,10
398,89,10,8
39,346,1,9
188,246,7,9
266,489,9,3
370,329,1,9
188,438,7,4
461,461,9,1
133,497,10,6
188,363,4,5
9,309,10,1
188,188,8,9
263,151,2,4
201,252,9,3
459,120,3,10
326,178,1,10
347,347,2,8
352,434,5,6
39,250,8,10
157,157,4,5
377,269,10,5
19,19,6,4
467,132,1,10
24,288,10,2
157,272,1,1
340,412,5,1
188,202,1,8
188,16,3,4
188,449,4,9
188,188,7,2
224,337,9,1
99,126,8,4
108,239,6,2
148,148,8,7
28,204,8,7
291,139,1,7
188,188,1,5
134,292,2,3
85,85,3,1
377,293,2,4
273,465,7,10
231,77,6,1
366,366,8,8
479,173,3,2
386,386,2,3
188,188,7,6
377,470,4,2
188,397,9,1
151,151,7,1
123,26,3,5
87,87,8,2
305,395,6,1
406,193,1,2
59,324,10,1
23,5,8,10
231,91,4,10
466,119,5,9
405,405,2,8
392,392,9,7
24,498,2,3
95,114,5,2
188,188,6,2
76,452,4,4
85,427,6,2
218,259,5,6
197,197,9,2
197,367,4,3
188,310,4,6
367,11,10,2
288,356,4,4
452,117,2,1
155,155,6,5
364,48,3,2
59,421,5,8
490,490,3,1
349,349,2,4
151,151,7,5
134,134,1,6
291,291,1,10
354,354,4,6
24,458,6,7
305,129,7,3
359,296,4,10
108,108,3,5
188,130,10,8
490,182,3,8
188,188,9,8
377,377,7,3
490,490,6,9
151,463,1,9
377,165,6,4
479,479,2,1
37,216,3,4
461,420,2,1
377,377,4,10
85,327,4,7
188,390,8,10
188,107,1,4
264,295,4,3
377,377,8,4
56,86,5,6
188,188,9,5
59,59,3,4
197,57,5,4
188,112,8,5
188,188,6,2
386,34,8,5
74,430,5,1
288,8,9,8
39,353,6,10
266,373,9,1
188,63,10,10
157,260,5,5
188,66,1,5
291,331,2,5
398,447,3,2
467,128,9,7
151,282,7,1
188,209,4,2
91,177,8,4
386,386,9,3
487,487,5,10
231,231,7,8
188,375,10,9
197,208,1,6
188,238,4,7
402,402,2,7
406,258,7,5
461,481,5,8
170,4,4,9
461,79,7,7
188,400,2,5
396,396,9,1
458,458,8,1
134,361,3,9
157,496,2,10
251,135,4,10
42,42,8,4
12,424,5,5
59,196,2,6
188,171,2,4
291,291,9,4
188,314,8,5
490,318,9,9
310,271,6,9
367,416,6,4
479,474,5,6
188,188,3,2
260,294,7,8
419,180,8,10
133,133,7,2
59,407,1,8
39,325,8,5
224,150,2,8
490,490,1,8
377,203,8,5
188,341,4,3
292,292,9,9
487,394,7,5
206,387,9,9
153,389,8,5
479,393,9,7
408,408,10,4
209,41,2,10
461,461,10,1
487,43,10,8
392,392,9,6
377,40,5,7
188,188,3,9
251,371,9,6
377,221,6,8
188,82,1,10
361,122,4,1
188,101,5,4
251,38,3,5
188,188,4,2
345,345,6,2
188,401,10,3
393,393,7,6
59,59,9,10
163,312,8,4
420,242,7,2
305,227,9,6
188,278,4,8
239,239,5,4
392,392,6,4
59,248,3,10
188,118,8,6
445,78,1,9
203,446,1,8
427,2,10,9
133,93,5,4
328,328,6,10
207,0,5,4
188,188,9,10
12,12,8,9
85,442,7,3
188,240,3,4
39,39,1,1
340,90,1,8
490,490,4,5
214,214,6,5
266,388,4,7
392,67,6,6
188,188,6,10
317,334,9,7
188,164,4,5
430,430,1,9
103,97,3,5
188,73,8,2
444,189,6,2
377,215,7,8
148,148,5,7
138,138,9,3
42,307,9,9
97,97,9,9
282,342,7,10
199,52,1,10
251,251,1,3
353,46,7,4
463,268,2,8
60,60,1,2
133,55,10,2
188,158,10,3
188,188,5,7
291,433,4,1
106,106,7,8
151,426,6,10
343,343,4,9
94,94,2,10
188,333,2,4
496,146,6,7
377,377,10,2
39,39,8,7
60,60,8,9
41,41,9,2
188,188,6,6
157,190,3,7
192,175,9,5
467,276,1,5
188,195,7,9
164,306,4,5
22,369,6,3
108,3,9,8
85,85,10,4
251,251,10,1
116,21,1,7
377,372,8,4
42,357,5,6
377,302,10,2
273,244,8,1
380,471,2,5
99,99,1,6
188,255,4,3
85,220,7,1
180,185,10,9
59,368,9,5
188,172,5,1
405,70,9,1
41,187,1,8
210,417,9,8
377,159,4,9
496,211,1,5
85,261,3,9
59,47,2,5
326,162,10,10
251,251,6,1
148,229,1,2
188,464,1,1
97,65,8,5
39,39,3,5
188,450,10,6
264,264,9,3
370,370,5,7
190,190,2,7
188,188,8,9
188,287,9,10
447,20,4,8
479,300,9,1
366,366,4,3
188,33,6,7
427,427,4,8
188,137,6,6
188,188,2,1
188,125,10,2
470,205,10,4
493,493,1,2
188,188,5,8
188,322,1,9
345,142,7,8
369,109,10,1
188,485,1,1
398,253,9,7
188,131,10,1
399,384,2,8
188,411,3,1
377,457,3,9
273,96,3,10
59,494,5,3
214,214,9,3
467,467,5,2
188,308,10,6
438,438,3,7
392,392,1,1
188,6,2,8
361,443,1,2
188,188,7,3
202,194,3,10
214,214,8,5
46,358,6,1
96,281,4,3
461,230,3,4
37,290,3,1
251,383,7,5
245,245,3,5
490,174,3,10
370,217,8,8
392,448,10,4
151,403,4,5
470,53,10,1
461,461,10,1
59,110,9,1
492,247,1,1
188,188,9,3
201,156,10,7
291,286,4,2
438,438,7,1
461,36,7,3
364,184,1,7
42,42,3,5
189,88,4,9
366,121,8,5
188,188,4,1
188,188,7,5
136,484,1,7
361,141,1,9
188,472,5,8
291,27,3,9
487,487,4,8
461,301,4,9
187,429,4,7
399,436,1,2
406,431,2,4
157,157,2,8
461,461,3,2
134,134,7,6
361,348,1,10
385,58,10,3
134,98,6,6
401,113,1,2
399,166,4,3
188,188,3,1
188,13,9,2
188,168,2,8
145,44,7,2
437,241,5,2
188,188,3,8
108,319,10,10
59,59,1,1
377,243,2,2
490,488,3,8
305,50,3,3
283,285,2,7
188,311,6,9
461,461,9,8
377,235,4,5
188,51,6,2
156,156,6,3
219,219,5,8
452,452,7,7
251,365,4,2
418,323,7,2
266,266,9,4
153,153,9,7
364,413,5,7
366,270,3,4
188,7,2,5
94,335,8,8
357,482,2,5
481,481,4,6
41,41,7,7
485,456,8,9
185,185,10,2
65,32,3,8
214,423,1,3
45,256,6,1
475,249,10,2
188,477,1,5
95,453,3,6
251,228,2,1
61,225,5,3
