source,target,weight_1,weight_2
1049,1553,8,2
1685,1685,9,4
2953,2953,3,2
2250,2250,7,1
4097,4097,8,3
3693,3986,8,3
1049,104,6,5
1049,2020,6,7
2783,2783,7,8
2515,2515,7,2
3233,3496,5,7
2865,4886,1,3
3697,3697,3,6
4653,4653,8,4
4642,4642,4,9
1049,2622,2,1
1049,4969,9,2
4575,4575,8,7
4575,4575,4,2
2139,2139,5,3
1192,3037,6,8
3739,4931,10,2
1049,5,3,6
1871,2067,5,9
1049,1766,2,10
2831,2831,5,2
1553,1553,6,4
4216,4216,5,2
4924,3049,8,9
3720,2839,7,4
2183,2183,5,10
1553,1553,9,8
2559,2559,2,7
491,2017,1,2
1049,4674,8,9
620,620,3,4
2183,4056,1,2
1520,4219,3,10
3550,1546,10,9
4400,320,7,5
1060,1060,2,1
3470,4821,10,1
4314,3497,2,5
2385,2385,8,1
1871,1871,1,1
17,17,2,7
1279,1279,10,4
2236,1425,7,3
1049,3146,4,6
906,2141,7,1
1807,4276,4,8
4216,4216,6,1
1684,4973,9,3
777,4133,4,4
1049,3660,5,10
4642,2605,7,9
1049,1771,5,1
1520,1520,10,4
4931,471,5,10
2448,516,8,4
1049,3895,3,9
4653,4653,3,7
4219,1175,9,8
620,4550,10,8
1685,1685,1,7
4352,3716,7,4
3895,3900,10,1
3453,3322,1,3
4924,278,5,1
297,4532,10,7
2515,122,3,4
4097,4372,7,10
4642,1328,9,2
4575,2240,4,7
1049,391,8,9
777,777,8,3
777,597,2,10
1049,1049,3,10
1871,3214,7,1
2559,2559,5,8
2067,1177,3,4
1049,3505,10,3
3789,1064,2,6
4979,3421,4,10
4979,700,8,10
4642,849,8,7
1553,764,10,3
4642,4642,1,1
1871,1725,4,5
2289,2289,1,6
4642,1190,1,4
3789,3789,2,6
3211,3211,7,10
620,3755,9,7
4097,3546,8,9
2139,36,1,4
4688,3295,2,1
1279,2372,3,4
2139,2139,2,1
331,331,3,5
2858,4151,3,7
2139,4149,9,10
4642,2986,4,7
389,389,10,6
1478,488,4,8
3789,3531,3,6
1553,1553,4,2
2156,3528,4,10
1972,1972,4,9
4216,2744,4,5
2559,2345,2,6
3140,3140,4,7
1049,57,2,3
1685,486,6,2
1049,2893,7,9
3546,1638,3,1
17,2753,1,6
3391,752,7,8
4225,341,2,9
1871,1871,8,10
4707,3864,3,6
4707,3360,9,7
1049,1049,10,2
2240,4934,5,9
389,2077,3,1
1279,2811,8,7
2816,2816,7,2
1685,3995,10,3
4357,1473,3,10
1279,2286,2,6
1520,184,3,1
1871,3250,8,7
4216,110,7,6
4056,4056,1,7
1685,2961,7,5
3789,3789,7,10
1685,1582,9,8
2431,3823,7,9
906,1699,4,10
1582,4594,1,9
1049,950,6,6
3470,3470,2,10
1049,2807,7,2
2289,2289,3,9
4240,4524,1,1
57,3437,1,6
1049,1961,7,2
2809,2809,7,8
110,4793,1,9
1871,3849,5,5
1049,294,6,9
17,621,2,7
1049,1571,6,4
1049,1049,2,3
1049,511,5,10
4642,4439,2,7
2141,3021,6,6
2559,319,8,1
4597,4597,9,9
4400,4400,9,4
1049,1049,7,9
4642,2700,9,10
1049,1049,6,6
2858,2858,2,4
242,242,5,7
1685,442,3,2
2999,4751,2,8
4707,4707,4,7
2448,3074,9,4
4276,3569,2,1
2345,1730,5,8
4400,4400,1,4
2139,4975,1,2
2139,4480,8,2
3146,3017,8,2
2953,4563,2,7
4642,2296,10,10
3027,50,4,2
1936,456,6,5
4707,4460,5,6
3789,3789,1,7
941,4165,7,10
4927,2380,8,8
749,749,7,4
3789,3789,10,2
2139,2564,4,3
4642,3035,8,10
4245,1887,4,8
3496,3496,10,10
1685,1600,7,7
2240,1880,3,6
2139,3817,8,10
1817,2627,4,6
3555,4743,1,5
1049,1224,8,4
4597,3091,6,1
3406,4475,6,4
4332,4332,6,4
1049,2397,2,9
389,3427,8,9
1049,1049,7,6
4151,841,9,7
4979,1361,1,3
2559,1557,8,10
1880,2951,7,5
1049,1049,10,9
2816,1152,8,2
2733,858,3,8
3555,3987,4,1
3693,3693,10,6
4701,4043,1,3
1049,1049,2,3
1049,1767,4,6
868,2315,2,3
3406,3406,1,4
1177,1177,5,5
2559,2559,1,2
4225,4225,6,1
3146,3146,1,10
3233,438,10,4
868,868,5,4
3233,3233,4,4
4151,4151,9,1
2953,2953,10,10
4151,4664,9,10
3146,3279,10,8
1560,850,8,2
4042,3175,10,9
389,4500,7,5
4221,2589,5,3
1060,3899,9,4
4357,3410,5,9
4225,1353,4,8
4697,4697,2,7
3789,4507,3,2
1049,2078,3,9
868,868,7,10
2809,1534,3,10
1049,1110,3,10
1871,2618,3,2
4597,3415,3,6
801,801,3,7
4701,706,6,7
724,724,2,2
2139,2139,9,6
4550,2415,2,10
2816,3984,9,3
1049,2621,10,10
4642,1392,3,10
2289,4559,1,7
3930,3254,5,1
3279,3279,6,4
4927,3432,1,1
4097,326,5,5
621,3601,5,6
1049,1049,10,5
3789,59,5,9
2139,2139,6,7
331,1988,9,6
1064,1707,8,5
2236,2646,8,4
4707,4707,9,4
4597,4738,5,9
564,564,4,10
389,2407,1,9
2156,793,2,2
2809,2570,1,9
3453,4736,3,9
1685,2887,2,5
4550,3318,1,10
4225,2592,4,9
830,4270,4,1
2302,4016,10,3
4642,2376,3,7
4216,1076,3,2
1049,3226,7,9
389,3227,1,2
1049,1049,7,3
1425,1425,9,6
331,120,10,10
4642,4642,1,5
2875,3395,10,6
906,906,6,3
2289,1826,2,10
4707,385,8,2
1553,4650,4,5
1936,100,6,4
3146,4706,6,3
906,2103,8,5
4357,831,6,8
1049,4328,2,10
4968,1442,3,4
4085,2888,4,9
3322,3322,6,1
4642,4642,3,3
4357,548,1,10
3140,261,6,6
3505,3505,9,9
3697,3697,6,7
2139,2139,2,8
4016,3347,5,9
3211,4698,4,3
1064,1780,10,6
1553,422,1,9
3322,3322,6,5
2139,2139,7,6
3550,2872,5,4
297,1862,5,3
1049,3762,1,8
389,389,9,3
4042,4565,1,7
3406,3406,1,9
906,906,3,9
1807,1807,5,6
793,793,7,9
826,2855,8,9
4597,2637,9,4
242,126,7,8
1049,2643,2,6
4575,1471,9,8
1725,2022,8,7
2887,2734,7,4
4332,2350,6,2
54,3833,4,10
3415,3415,3,1
2811,1549,9,7
1049,4409,4,1
2690,4198,3,8
3091,3091,5,5
4357,2728,2,10
3279,2074,10,6
3074,2503,1,5
4400,2186,9,2
2415,2415,5,2
4697,4697,2,8
2139,798,3,5
2289,152,6,5
3900,3900,5,5
17,1047,2,10
3789,310,1,6
1871,1871,9,7
1049,2349,9,3
3146,3146,7,8
1192,2025,1,1
3496,4722,1,7
4707,4999,3,10
389,389,3,9
4642,3699,6,4
1871,1871,1,7
4448,3959,4,1
208,2806,6,1
4460,3247,4,6
4707,4707,4,8
1049,1049,5,2
2953,2953,4,2
3322,768,4,9
1049,3718,7,8
2485,2485,9,6
2106,3010,8,8
2958,2958,8,3
4915,2528,9,6
2313,302,8,9
3789,3789,10,4
2559,2362,10,1
1049,4383,10,2
3146,3146,7,4
4642,4642,4,9
2690,4220,3,7
4642,4642,8,6
297,4871,5,2
2643,3277,7,7
57,3667,9,4
302,2161,10,10
3438,2427,5,4
1588,929,6,1
3091,3091,5,3
1049,4414,6,9
2250,4750,10,2
57,2517,5,4
488,515,7,8
1049,3006,9,1
1049,4498,10,6
2139,1505,9,9
389,3225,1,1
777,777,8,5
4594,4373,2,7
1049,4489,10,8
4707,357,6,7
4642,4951,8,5
1049,2098,7,9
389,147,8,2
1049,3274,9,6
3074,3074,3,3
4642,1424,9,10
4697,264,3,9
1553,1553,10,3
511,511,4,6
3438,3320,6,6
2139,2322,7,8
294,294,9,8
4016,4692,10,10
2139,3909,2,3
2415,2415,10,6
2240,327,7,6
2700,3803,8,8
4400,427,6,2
2733,3356,3,5
1177,2906,10,7
4400,1429,9,1
2515,1879,9,9
3470,533,9,8
4835,4835,5,6
1936,3195,5,2
3204,2223,3,1
2139,318,10,6
4448,3031,4,7
4706,1552,1,10
4225,1591,2,1
1049,4940,2,6
2753,3491,9,7
4697,4697,3,1
4707,4707,6,4
4697,4697,1,3
752,3134,9,6
1699,1699,4,3
2315,588,4,6
2139,2964,5,4
2579,2579,1,3
3546,3546,3,7
2151,3949,10,7
1958,1958,2,10
4400,4400,7,2
3789,3789,1,1
2250,1374,2,9
2953,4311,8,3
4642,1941,5,2
1049,494,4,10
1424,2050,1,5
4597,3948,9,9
1049,4553,3,7
1049,3795,6,8
621,2746,5,5
3322,898,1,2
906,4244,10,1
4951,1075,1,7
3789,4354,6,4
2809,2809,1,6
1958,1958,2,1
3697,4420,1,2
4575,4575,3,7
3895,2119,9,3
1699,392,7,3
1520,722,5,1
4575,64,4,10
2139,3581,3,2
4597,2150,10,5
1520,4581,10,10
4707,4707,7,2
438,1009,7,1
2855,4005,1,5
777,2036,2,8
1049,2408,6,2
3204,3204,1,7
1936,1936,10,9
242,1652,8,3
3789,1001,6,5
2728,2728,2,9
3909,2614,6,7
1049,82,3,2
1049,710,7,10
3718,3718,6,2
4642,3242,1,8
57,57,10,4
3406,861,9,8
2621,3880,3,4
434,4812,4,10
4707,2903,8,10
3204,550,7,5
4969,4969,10,5
14,699,7,9
1049,1737,2,4
242,1540,8,8
1988,4638,5,5
1424,1424,4,6
2816,2816,3,3
2953,3335,2,6
1871,1871,5,2
3880,2184,1,9
3453,502,2,8
4707,4707,3,2
2690,2690,5,6
2953,1067,5,8
3789,2546,3,2
4357,4357,6,2
1049,1049,10,5
1049,1049,8,3
1807,4822,4,7
4835,4835,3,4
2816,2015,3,8
3322,693,4,1
1049,4855,1,2
3091,1864,4,8
4527,4527,2,3
2559,1859,1,4
488,1511,1,9
1520,4333,1,6
1392,4759,4,10
3274,4561,2,6
1553,1553,6,5
4151,4151,4,8
4707,48,4,5
4924,1802,10,9
3062,481,2,6
2700,1575,6,7
297,297,3,3
4706,2279,10,6
1871,3341,6,7
3341,557,2,3
434,1662,8,9
2139,239,3,6
4414,791,1,5
3789,1646,2,8
4653,4653,9,8
14,4942,8,8
14,14,2,3
2690,1894,4,6
906,1708,1,2
14,14,10,2
3939,3939,2,6
2637,2637,3,10
3091,4039,4,6
4642,4877,5,9
4219,4219,2,8
2315,1121,4,9
4056,4056,1,10
4400,3692,7,9
1049,4837,10,5
2953,1559,5,10
1365,1365,10,2
1520,4952,6,9
2139,2139,9,4
868,2416,3,9
4707,3541,4,6
3432,1581,7,5
4642,4642,3,8
4707,60,6,5
1807,1788,8,6
1588,3650,7,8
3718,3718,4,1
772,1773,6,7
3155,3155,10,7
2315,4113,10,9
1685,3477,4,7
2953,4981,2,1
2958,1955,8,10
3453,2523,4,4
60,1019,1,7
724,682,2,8
4314,1905,7,6
1049,1049,7,8
2728,11,5,4
1871,4112,7,10
2408,162,7,8
4097,1598,10,5
389,85,2,8
3930,606,6,2
620,1528,4,4
17,1605,7,2
4550,4550,3,8
4151,2011,2,8
4016,3869,9,2
4991,1416,8,9
3909,3385,9,8
2141,1940,1,2
2523,22,9,8
4642,4642,1,7
1049,2595,1,1
2289,2289,2,9
1030,1030,8,10
1685,874,10,6
1520,701,2,3
2816,556,9,3
3438,3438,1,4
4575,4531,6,3
801,2758,2,4
3505,1917,10,5
297,297,1,2
3718,3874,8,4
2700,1349,5,9
1553,968,2,9
4097,4406,9,1
4276,2514,3,6
2559,4273,4,4
1279,2122,8,5
4943,2486,3,2
2345,1937,9,8
1049,1049,1,10
4575,4575,4,7
2875,1124,1,7
4292,2453,9,4
2139,2823,4,10
1049,2561,2,10
1549,3294,1,8
2183,2183,1,7
2953,3160,8,9
2139,922,7,7
504,118,8,7
853,1700,9,5
4701,4771,2,9
1049,1843,4,2
2448,1816,9,3
3720,2393,3,3
147,4739,8,9
4527,946,6,1
4597,371,7,2
2067,4521,3,6
1049,765,7,2
2106,1318,1,4
3953,3953,8,10
4221,2099,10,8
4642,1134,3,2
1060,1060,10,1
2875,2506,4,1
3195,3195,2,1
4597,4597,6,7
2322,4365,4,9
3111,3111,1,9
1559,4523,10,4
471,471,4,7
1557,2435,1,8
2139,2139,9,5
2958,3112,10,8
60,60,3,8
1802,1367,9,6
1049,4364,8,1
1049,1049,3,3
4523,4665,4,9
4225,449,10,2
3477,3477,7,10
2816,1130,10,8
4225,1098,1,6
4043,4119,3,6
1049,1049,2,4
4943,3510,8,7
1049,2219,6,7
4642,4856,3,8
2816,2545,10,4
3795,270,1,2
4151,4151,7,3
4642,2511,7,7
3880,4017,8,1
2809,4252,5,5
3091,4873,7,9
906,4045,3,7
4943,3085,10,5
2139,546,5,7
1049,1049,6,2
4460,4976,7,8
511,511,1,9
4400,4400,5,9
2139,4124,10,2
2139,2139,3,7
3074,3074,1,8
3789,3789,2,4
2393,2393,4,4
4333,4197,9,3
2816,2816,1,8
2816,3979,3,8
2515,4458,9,1
620,3086,4,10
1520,879,8,5
1412,844,10,9
4575,3548,5,6
2139,1389,8,7
2816,397,9,8
3555,3555,9,5
357,2949,6,5
270,1740,6,6
1049,1566,1,6
2139,4487,10,3
4097,1746,7,9
597,597,2,4
4642,1612,4,3
2219,131,2,1
1049,226,6,8
2322,274,4,8
4642,4642,10,2
1049,1049,5,5
1049,4576,10,6
1049,1049,3,2
3134,3878,2,4
1049,1049,7,8
3895,4748,4,1
3569,451,5,8
3140,3140,5,1
2184,3043,3,1
17,17,1,3
846,1316,10,1
1049,2440,3,6
3427,390,3,7
4707,4707,3,9
1049,1890,8,10
4642,3268,6,1
1520,1520,6,10
3550,3550,6,2
1972,4607,4,5
620,2981,1,4
3550,912,8,7
2986,650,2,9
1049,4065,7,6
2961,2424,6,10
1553,3220,6,6
2579,2579,1,2
3140,1399,1,2
846,846,5,8
4642,4642,2,1
2015,2015,3,9
2643,2643,8,8
3833,2717,10,5
1049,617,1,7
2753,233,5,4
2393,2552,6,6
1192,1503,3,10
1047,1047,10,1
17,4022,4,8
326,1378,2,5
2595,2595,8,10
3027,3027,5,2
2077,2055,4,9
2816,696,8,8
327,327,6,9
1871,3932,2,8
4431,535,1,8
4151,1056,4,1
2289,3375,8,2
3789,237,8,5
3550,3260,4,8
1871,1902,1,2
2139,2653,6,2
1478,305,1,6
1725,3636,4,2
1049,2852,4,4
1318,353,10,9
1553,1094,2,10
1049,425,4,5
2448,4098,10,8
3697,4680,4,8
2953,2587,4,3
1049,1049,10,7
1049,3825,6,2
1807,1807,9,5
1049,4764,4,2
4642,4642,10,8
3027,3567,10,9
4642,1337,6,1
389,3194,1,10
4642,4642,10,10
4751,3535,6,10
4357,4357,8,4
4448,2272,4,7
4225,2933,9,1
4016,984,4,5
2139,4504,5,6
1049,2359,6,5
3693,3693,9,10
2250,2250,2,8
764,3276,10,3
3718,470,9,5
4097,2396,1,1
620,620,1,1
2279,1791,4,10
1049,3791,10,10
1685,4471,5,1
1049,692,3,10
3260,497,4,6
2515,71,4,3
4357,1792,8,9
3146,983,8,6
3140,702,5,1
1478,2794,9,8
4707,1301,3,6
2579,2579,3,2
3784,4321,1,8
4042,2801,10,6
17,1965,7,4
3347,3347,4,2
1685,3379,4,9
2139,2139,8,1
546,1180,4,7
682,3506,9,3
3697,2874,5,1
4043,4819,7,2
4097,916,9,7
4642,4449,4,3
1049,3495,2,6
3211,3211,7,6
4642,4642,1,4
4240,2945,4,2
1282,4635,3,6
699,4870,10,3
849,4746,7,10
48,2134,2,7
4681,695,10,4
1887,2726,5,10
1575,1805,4,10
389,3331,3,6
1049,1049,8,1
17,3659,8,7
1049,1049,4,1
1049,2696,3,10
1060,1060,7,10
3091,3091,3,8
548,1232,5,8
511,4955,3,6
1766,3458,6,3
4597,2778,1,2
3074,3074,5,1
4575,4575,10,5
4097,55,6,8
3037,1420,10,10
3550,854,9,2
4448,507,8,6
4642,4067,5,6
1049,3629,10,4
4688,3336,9,3
3869,902,8,10
3766,2642,10,10
4550,4550,3,10
3260,750,4,2
1773,4547,1,5
4707,4707,6,2
2345,440,5,10
2139,2139,10,10
511,139,10,5
1049,2594,10,3
1520,1520,1,9
906,2797,8,1
1824,1824,2,5
4314,595,8,8
4162,354,8,4
1049,2054,8,7
59,59,9,2
699,1523,8,7
4920,336,1,6
1049,1049,6,1
3322,3322,3,8
3091,186,9,5
438,438,8,7
3895,758,9,10
4581,1381,4,9
1491,1491,5,1
3716,3716,2,10
4151,1260,5,1
1049,4164,9,9
1374,1672,4,8
4225,779,6,4
1049,1049,7,7
2372,1579,7,6
3233,3405,5,9
1049,1821,10,3
710,710,4,7
3211,4763,3,4
550,4426,6,3
3254,2135,4,9
2875,363,7,7
4642,4757,9,8
620,620,3,4
2302,4992,8,10
4085,4207,7,5
4597,1245,9,6
3477,365,4,7
3833,1070,1,9
4650,4650,10,10
3453,3420,10,7
4707,2323,3,5
4969,4969,3,1
1936,1936,6,8
57,2685,8,4
3470,566,1,7
3880,3880,7,8
2250,2250,3,5
1049,748,1,5
2359,1220,6,2
3405,4755,1,9
2831,1556,10,5
3878,1479,5,3
650,650,9,3
1807,848,1,3
2953,3840,10,8
1491,1716,3,7
1049,1049,1,6
1060,3143,6,1
17,17,8,7
3395,3395,9,6
1049,1049,2,7
2272,4445,2,10
4448,2012,9,6
2559,2559,10,2
2362,3466,5,1
2139,3132,1,3
4739,3371,8,7
2183,2183,4,7
1807,1807,5,9
1612,1612,1,4
4448,4448,8,4
2302,3911,7,8
2958,134,7,2
2958,4921,4,1
2958,587,5,10
4642,2469,9,5
3233,657,3,7
4400,4400,8,3
1553,3988,8,1
1871,4118,10,9
4431,2572,1,8
2139,4296,9,5
4276,2084,3,10
3962,3561,2,2
791,791,10,7
2141,3121,3,2
550,196,3,9
2831,2271,10,7
2515,2515,6,9
2515,2193,7,5
4240,957,10,8
4642,4419,2,6
1700,4258,5,7
1049,1049,6,1
4642,4044,3,4
4225,4225,10,3
3379,3379,1,6
2141,2141,4,3
2139,2139,9,8
4240,4240,8,10
620,4157,5,4
2953,3998,1,4
597,2573,5,10
2953,3529,3,8
507,718,3,6
4642,2747,6,6
1685,2293,9,3
1049,2338,10,5
4642,1963,9,8
2139,1437,10,1
1684,993,3,9
3035,3035,6,2
3453,3452,3,4
1060,3024,7,7
2605,2605,10,4
4314,4314,6,5
700,700,2,2
2953,2953,8,7
4372,543,7,10
1049,1049,9,6
4642,4642,8,3
4042,4377,6,6
34,34,6,3
120,3776,4,9
1049,342,5,6
4635,164,2,5
4642,905,5,10
2953,4641,5,7
2139,2610,9,7
2792,3644,2,5
2055,2795,2,9
906,906,6,1
3406,4125,6,7
4755,4755,4,4
1936,1936,2,4
1049,1243,5,8
59,59,1,4
4642,4335,6,1
1049,1049,5,4
4448,3539,2,1
331,331,3,5
798,4516,10,6
1049,1783,10,5
4524,3264,6,10
4642,4675,9,4
1672,4464,7,7
4498,4498,6,6
3427,4814,2,7
3505,3775,3,1
1279,1080,4,4
3154,4689,7,3
777,490,7,6
1049,1111,9,2
3204,4631,2,1
2783,4063,8,9
2279,518,4,8
2559,3176,1,7
1392,1392,4,2
2139,1866,6,9
1049,720,5,9
1049,3493,6,2
2726,4686,10,6
2958,3973,1,9
2139,2139,7,1
488,488,7,7
3493,3493,5,10
2872,2872,10,7
2875,1351,9,6
2141,1739,1,1
868,868,7,3
3195,2291,4,6
692,4582,6,7
1773,1497,8,10
849,2387,2,2
688,688,1,6
2953,1463,1,2
4707,571,6,10
310,1460,2,5
3716,3716,1,5
4665,4070,5,5
2953,962,1,5
14,2560,5,10
620,3576,9,3
1049,1157,8,9
1612,2864,4,9
440,2097,7,9
4589,2401,5,8
1588,1588,3,5
3395,2868,4,6
3909,3909,8,4
1049,3090,10,3
34,3563,4,2
1520,570,3,9
3276,1703,2,6
1049,4247,3,5
2139,2139,5,6
3697,412,10,5
4055,4055,2,10
2839,2839,7,1
2139,2139,10,9
2289,2289,6,3
1652,1652,4,4
1245,3281,6,4
1877,1877,10,8
2182,1609,3,4
4151,1319,9,1
4707,744,7,7
2831,1989,4,8
1049,463,7,4
2083,3657,5,7
3366,2467,1,6
1049,4492,1,10
4097,4097,1,3
4751,4060,5,10
4332,4343,4,5
1766,1766,4,1
2570,2570,8,9
4706,2500,5,6
2106,2106,7,8
1534,4636,7,7
3693,3693,8,10
3550,2757,10,5
557,3643,9,2
4642,3084,10,2
3091,3091,1,8
4357,1738,8,7
1049,4006,5,4
4498,1317,3,3
692,4788,10,5
4225,4225,5,2
1767,1767,2,1
1064,4799,3,7
3505,1634,8,5
4755,1338,1,6
4225,901,7,8
1049,1049,3,4
3260,3260,7,8
1685,1685,10,6
3697,3697,3,7
4597,2095,8,7
1685,4826,4,8
1672,3201,9,9
1049,1049,9,10
3140,3140,6,8
2559,2559,1,7
3900,4137,1,3
4314,625,4,4
4597,4597,4,5
868,868,6,9
389,2061,1,8
2845,2845,2,6
2809,30,9,9
389,476,9,4
4164,232,2,2
297,3266,6,3
4934,3744,4,9
4207,1876,10,4
868,113,7,10
1245,1091,3,5
1685,1397,8,3
2831,2831,6,4
2106,222,6,9
2958,3011,3,7
1553,4517,5,1
